date,day_of_week,weekend,temperature,rainfall,rain_probability,local_event,units_prepared,units_sold,true_demand,price_per_unit,cost_per_unit
2026-05-27,2,False,20.5,4.37,0.83,True,84,84,103.4,25.0,12.0
2026-05-28,3,False,19.1,2.1,0.35,False,94,70,69.5,25.0,12.0
2026-05-29,4,False,22.8,2.98,0.35,False,73,70,69.6,25.0,12.0
2026-05-30,5,True,23.3,0.34,0.29,False,100,75,75.2,25.0,12.0
2026-05-31,6,True,23.0,4.01,0.46,False,94,90,90.5,25.0,12.0
2026-06-01,0,False,23.7,1.27,0.27,True,91,91,107.8,25.0,12.0
2026-06-02,1,False,17.4,0.75,0.23,True,92,92,103.7,25.0,12.0
2026-06-03,2,False,20.2,7.69,0.56,False,87,59,59.3,25.0,12.0
2026-06-04,3,False,18.9,2.1,0.37,False,77,70,69.9,25.0,12.0
2026-06-05,4,False,22.6,1.62,0.55,False,77,64,63.9,25.0,12.0
2026-06-06,5,True,23.6,2.3,0.28,True,92,92,114.8,25.0,12.0
2026-06-07,6,True,25.7,3.91,0.54,False,90,85,85.0,25.0,12.0
2026-06-08,0,False,20.4,7.8,0.38,False,86,68,68.2,25.0,12.0
2026-06-09,1,False,22.5,3.21,0.37,False,94,62,61.8,25.0,12.0
2026-06-10,2,False,20.3,3.3,0.49,False,76,71,70.6,25.0,12.0
2026-06-11,3,False,22.8,0.95,0.14,False,83,70,70.0,25.0,12.0
2026-06-12,4,False,24.9,0.14,0.13,False,84,84,89.1,25.0,12.0
2026-06-13,5,True,22.9,2.01,0.13,False,97,92,92.4,25.0,12.0
2026-06-14,6,True,22.6,0.84,0.21,False,89,89,98.4,25.0,12.0
2026-06-15,0,False,23.7,0.28,0.3,False,68,68,88.4,25.0,12.0
2026-06-16,1,False,23.3,1.6,0.46,False,82,82,89.4,25.0,12.0
2026-06-17,2,False,30.6,2.7,0.37,False,90,70,69.8,25.0,12.0
2026-06-18,3,False,25.2,1.25,0.15,False,88,64,63.5,25.0,12.0
2026-06-19,4,False,22.2,0.49,0.13,False,84,75,75.1,25.0,12.0
2026-06-20,5,True,25.2,0.22,0.24,False,96,96,97.3,25.0,12.0
2026-06-21,6,True,28.1,1.05,0.43,False,86,76,75.6,25.0,12.0
2026-06-22,0,False,24.6,0.9,0.17,False,75,75,83.3,25.0,12.0
2026-06-23,1,False,25.9,1.33,0.34,True,88,88,113.0,25.0,12.0
2026-06-24,2,False,29.6,1.68,0.13,False,73,73,91.0,25.0,12.0
2026-06-25,3,False,26.8,1.21,0.21,False,85,78,77.5,25.0,12.0
2026-06-26,4,False,25.2,1.51,0.18,False,90,86,86.2,25.0,12.0
2026-06-27,5,True,28.6,2.08,0.25,False,75,75,99.1,25.0,12.0
2026-06-28,6,True,27.3,0.17,0.05,False,99,99,101.2,25.0,12.0
2026-06-29,0,False,28.2,4.07,0.63,True,95,95,113.1,25.0,12.0
2026-06-30,1,False,31.3,0.56,0.2,False,88,70,70.1,25.0,12.0
2026-07-01,2,False,26.7,2.74,0.31,False,82,73,73.4,25.0,12.0
2026-07-02,3,False,31.4,1.47,0.24,False,90,81,80.5,25.0,12.0
2026-07-03,4,False,31.6,1.96,0.29,False,87,84,84.1,25.0,12.0
2026-07-04,5,True,30.7,0.33,0.13,False,101,98,98.3,25.0,12.0
2026-07-05,6,True,31.0,0.15,0.28,False,98,98,109.3,25.0,12.0
2026-07-06,0,False,32.9,3.07,0.23,False,91,69,68.8,25.0,12.0
2026-07-07,1,False,29.7,1.96,0.46,False,84,67,67.0,25.0,12.0
2026-07-08,2,False,32.2,3.31,0.44,False,94,73,73.0,25.0,12.0
2026-07-09,3,False,35.1,0.63,0.25,True,89,89,113.5,25.0,12.0
2026-07-10,4,False,31.3,5.13,0.32,False,84,74,74.5,25.0,12.0
2026-07-11,5,True,34.1,0.55,0.32,False,97,93,93.2,25.0,12.0
2026-07-12,6,True,34.0,2.93,0.46,False,104,102,102.3,25.0,12.0
2026-07-13,0,False,31.6,3.36,0.31,False,94,83,82.6,25.0,12.0
2026-07-14,1,False,32.7,1.72,0.24,False,88,71,71.3,25.0,12.0
2026-07-15,2,False,33.4,1.53,0.29,True,90,90,97.2,25.0,12.0
2026-07-16,3,False,33.8,2.2,0.14,False,96,79,79.2,25.0,12.0
2026-07-17,4,False,33.0,0.32,0.03,False,87,87,92.2,25.0,12.0
2026-07-18,5,True,36.8,3.46,0.48,False,91,79,79.4,25.0,12.0
2026-07-19,6,True,37.6,1.16,0.37,True,101,101,127.8,25.0,12.0
2026-07-20,0,False,34.3,0.1,0.07,False,78,78,87.0,25.0,12.0
2026-07-21,1,False,34.7,0.59,0.33,False,95,79,79.0,25.0,12.0
2026-07-22,2,False,32.1,7.74,0.34,False,78,60,59.5,25.0,12.0
2026-07-23,3,False,32.2,0.75,0.2,False,91,84,84.4,25.0,12.0
2026-07-24,4,False,29.4,0.45,0.25,True,96,96,128.1,25.0,12.0
2026-07-25,5,True,32.6,3.66,0.38,False,95,95,97.5,25.0,12.0
2026-07-26,6,True,34.8,0.37,0.11,False,106,106,113.4,25.0,12.0
2026-07-27,0,False,29.9,1.11,0.16,False,92,70,70.1,25.0,12.0
2026-07-28,1,False,33.2,1.79,0.46,True,102,102,108.6,25.0,12.0
2026-07-29,2,False,34.5,1.97,0.32,False,96,83,82.9,25.0,12.0
2026-07-30,3,False,36.1,2.98,0.44,False,94,73,73.0,25.0,12.0
2026-07-31,4,False,32.6,0.17,0.02,False,87,87,91.7,25.0,12.0
2026-08-01,5,True,31.1,5.44,0.45,False,99,82,82.1,25.0,12.0
2026-08-02,6,True,34.6,0.01,0.02,False,91,91,100.1,25.0,12.0
2026-08-03,0,False,32.6,7.35,0.34,False,82,79,78.6,25.0,12.0
2026-08-04,1,False,28.3,4.4,0.34,True,85,85,115.7,25.0,12.0
2026-08-05,2,False,32.5,2.3,0.11,False,82,79,79.0,25.0,12.0
2026-08-06,3,False,29.4,10.49,0.39,False,85,63,62.9,25.0,12.0
2026-08-07,4,False,29.5,2.94,0.31,False,84,76,76.1,25.0,12.0
2026-08-08,5,True,32.8,2.79,0.32,False,90,90,103.4,25.0,12.0
2026-08-09,6,True,30.1,5.24,0.6,False,106,101,101.2,25.0,12.0
2026-08-10,0,False,27.5,0.57,0.23,False,84,84,94.6,25.0,12.0
2026-08-11,1,False,26.1,1.1,0.19,False,86,79,79.3,25.0,12.0
2026-08-12,2,False,29.6,1.58,0.15,False,78,78,100.4,25.0,12.0
2026-08-13,3,False,28.2,7.41,0.56,False,89,66,65.9,25.0,12.0
2026-08-14,4,False,29.2,7.42,0.59,False,82,60,60.2,25.0,12.0
2026-08-15,5,True,28.1,0.95,0.07,False,98,98,113.7,25.0,12.0
2026-08-16,6,True,28.0,0.77,0.19,False,108,98,98.1,25.0,12.0
2026-08-17,0,False,25.1,2.07,0.24,False,93,83,83.3,25.0,12.0
2026-08-18,1,False,28.4,0.46,0.43,False,86,64,63.6,25.0,12.0
2026-08-19,2,False,26.9,8.02,0.4,False,92,71,70.6,25.0,12.0
2026-08-20,3,False,25.4,2.02,0.27,False,85,71,71.1,25.0,12.0
2026-08-21,4,False,23.8,0.43,0.19,False,86,86,85.6,25.0,12.0
